Area,Building_Type,Construction_Year,Number_of_Floors,Energy_Consumption_Per_SqM,Water_Usage_Per_Building,Waste_Recycled_Percentage,Occupancy_Rate,Indoor_Air_Quality,Smart_Devices_Count,Green_Certified,Maintenance_Resolution_Time,Last_Inspection_Date,Maintenance_Priority,Energy_Per_SqM,Number_of_Residents,Electricity_Bill
Yelahanka,Residential,1989,12,50,477.6817617,48.41726562,81.81410988,13.78063535,6,0,7.211768251,25-09-2023,High,174.8357077,360,16408.00877
Whitefield,Institutional,1980,6,225.7591073,200,46.40551588,45.10899972,10.17777052,10,0,34.13949198,18-05-2024,High,143.0867849,91,15230.42507
Koramangala,Industrial,2006,10,98.75592702,200,17.24758534,48.52622473,27.75702562,2,1,6.22461186,28-09-2023,Medium,182.3844269,115,8117.632795
Jayanagar,Commercial,1985,1,68.47069153,200,57.71947984,76.33592063,1.519812376,2,0,5.327398442,17-10-2022,Low,226.1514928,159,13030.70716
HSR Layout,Industrial,2006,12,50,347.0936445,26.936862,96.51131858,1.874752764,19,0,7.060853586,25-04-2024,Medium,138.2923313,258,25848.85374
HSR Layout,Commercial,2023,12,50,200,18.50192174,56.59565215,21.10954535,2,0,7.970385923,30-11-2022,High,138.2931522,373,16570.57925
Indiranagar,Commercial,1994,6,50,200,13.6040003,95.058833,13.34727744,8,1,6.538796533,07-11-2021,Medium,228.9606408,338,20712.24782
Whitefield,Industrial,2013,10,150.8423148,202.942804,27.50212179,88.80927414,31.25254177,5,0,5.968922586,05-08-2022,High,188.3717365,90,10084.28437
Yelahanka,Commercial,2004,10,68.93116152,200,26.19455588,73.04049722,49.60335887,3,0,9.501111489,11-03-2024,High,126.5262807,245,9997.236826
BTM Layout,Residential,1991,3,92.34375463,261.6616297,14.32886109,50.74793798,9.832452991,5,0,6.709357251,27-10-2022,Low,177.1280022,298,8982.737877
Whitefield,Residential,1994,10,50,200,14.04757035,51.16045204,18.14711667,4,0,8.946627354,27-08-2021,Medium,126.8291154,31,8341.155048
Hebbal,Industrial,2018,4,250,479.192187,29.21471338,99.28469117,13.89082815,2,0,11.5417982,15-05-2023,High,126.7135123,317,6888.007516
Malleshwaram,Institutional,2017,13,133.9822158,200,21.83001025,47.90426227,79.91967786,10,0,11.11396037,28-07-2023,Medium,162.0981136,358,16166.0728
Koramangala,Residential,1978,8,50,200,48.14605832,50.4176664,35.56712281,4,1,6.69800104,06-09-2021,Medium,54.33598777,312,13220.90582
Koramangala,Industrial,2020,9,50,200,30.80163474,71.08690166,48.5488462,6,0,8.22730348,21-03-2024,High,63.75410837,470,19377.47442
Whitefield,Commercial,2014,5,50,200,47.17553973,78.19384166,5.869713284,2,0,7.202697342,08-10-2021,Medium,121.8856235,228,13448.01758
HSR Layout,Residential,2016,3,50,200,17.75353581,66.77496131,29.61442386,9,0,14.78115812,16-09-2023,Low,99.35844398,339,2983.801045
HSR Layout,Industrial,1975,8,55.79458731,200,27.29288965,80.38048286,6.170576613,3,0,15.20456675,09-04-2022,High,165.7123666,128,17218.084
BTM Layout,Industrial,2002,1,50,274.902631,12.68813284,55.16692672,4.682637383,8,0,6.507342455,04-05-2022,Low,104.5987962,270,4847.932121
Hebbal,Institutional,2017,2,50,200,72.70594617,85.65891206,57.7433554,3,0,5.325938414,01-02-2024,Medium,79.38481493,270,16071.97174
Koramangala,Commercial,1992,1,70.97781554,356.2152343,8.4744423,74.39794347,0.389863605,1,1,5.630481348,23-08-2022,Medium,223.2824384,498,11143.21232
BTM Layout,Commercial,1973,4,50,590.0962513,19.35741929,91.30564672,67.27150333,4,0,6.646600048,12-05-2023,High,138.711185,413,16162.55017
HSR Layout,Commercial,1976,10,50,454.0351916,11.39909952,61.07926024,3.233018996,2,0,8.190285213,29-05-2023,Medium,153.3764102,209,7781.907214
Yelahanka,Industrial,1997,4,50,200,42.39949616,54.9941497,34.23363046,5,1,9.28275856,28-09-2022,High,78.76259069,178,18891.62762
BTM Layout,Industrial,1984,1,50,200,17.28156935,68.65195558,6.457138428,5,0,6.435933125,29-09-2022,High,122.7808638,306,15188.04723
Malleshwaram,Commercial,2023,9,115.3452008,200,9.433673537,61.80140441,8.63728008,9,0,9.43452178,31-07-2022,Low,155.5461295,191,13278.9846
HSR Layout,Industrial,1974,8,50,200,43.10713036,93.78018854,4.88626389,11,0,20.23075559,15-12-2022,Low,92.45032113,357,6526.247376
Banashankari,Institutional,1991,1,54.15218663,1295.154797,17.30445828,63.26538727,17.61432366,4,0,9.217158186,18-05-2023,High,168.7849009,457,24052.67421
Hebbal,Industrial,2008,6,67.3128541,200,13.22473709,98.05351268,8.557145461,6,1,5.592370958,17-08-2021,Medium,119.9680655,449,10466.03642
Jayanagar,Industrial,2019,10,50,207.2777869,43.87585011,73.71630778,21.42342753,3,0,8.349638221,09-12-2021,High,135.4153125,68,16314.70389
Koramangala,Residential,2009,4,70.14997655,288.8227305,8.032820223,87.56340916,0.315420588,6,0,7.972145742,20-07-2024,High,119.9146694,327,10255.60528
Indiranagar,Institutional,2008,13,50,363.6669945,18.94219343,67.0197491,1.330807986,7,1,14.7757949,17-12-2023,Medium,242.6139092,267,33887.44988
Malleshwaram,Residential,1995,3,50,246.0547272,42.95383614,93.33434518,2.099681791,3,0,6.545951402,30-08-2022,Medium,149.3251388,270,15747.10685
Electronic City,Commercial,2019,6,223.0265845,200,5.123054705,85.40186986,10.85987307,7,0,7.011421765,07-02-2022,Medium,97.11445355,362,11926.56104
Jayanagar,Commercial,1990,12,250,200,24.75430792,66.08507802,33.72596582,7,0,8.556955709,03-04-2023,High,191.1272456,467,18028.79399
Indiranagar,Institutional,1971,3,123.924868,218.7639281,46.33510909,97.32157644,43.81692312,5,0,7.81131637,27-03-2023,Medium,88.9578175,360,18750.30899
HSR Layout,Industrial,2010,13,50,200,37.06041496,69.35730638,5.615737715,9,0,10.26768209,18-05-2024,High,160.4431798,387,16972.99468
Electronic City,Residential,1987,6,50,200,24.92853794,71.2205175,17.08368414,2,0,5.138372863,20-10-2022,Medium,52.01649381,128,13382.41278
Whitefield,Institutional,2020,1,86.45630723,200,22.28193357,84.8597757,29.25184781,4,0,8.182888034,18-06-2022,Low,83.59069756,264,17202.53586
Whitefield,Residential,1998,1,50,200,18.99547075,70.04343188,6.816859526,4,0,5.441937108,19-12-2023,High,159.8430618,221,14223.29223
Malleshwaram,Industrial,2001,3,50,200,46.66101043,46.0378284,10.51904705,7,0,6.34524774,09-06-2022,Low,186.923329,242,14873.53403
Whitefield,Residential,1984,10,51.26604211,200,12.28122371,98.32082745,14.8456646,1,0,9.350533279,01-03-2023,Low,158.5684141,485,11072.94003
Electronic City,Institutional,1992,12,50,251.4802212,1.183890114,60.86072504,2.897621926,2,0,5.587545463,06-01-2023,High,144.2175859,244,7682.81922
Electronic City,Industrial,2005,3,180.0317166,350.8375689,13.80923869,53.97216647,0.526515932,4,0,6.310301596,18-06-2024,Low,134.9448152,427,17816.235
Hebbal,Industrial,1994,13,50,483.7127157,28.45590535,88.11324159,3.316506836,4,0,9.988252821,14-09-2021,Low,76.07390048,393,18031.50092
Jayanagar,Institutional,1997,2,81.46918489,200,52.27340801,80.22495393,19.71569,8,0,9.200732991,02-07-2022,High,114.0077896,19,21483.19385
Koramangala,Industrial,1981,9,50,200,21.29733028,77.47336031,1.529377694,15,0,5.323295444,19-09-2021,High,126.9680615,396,15242.57331
Banashankari,Residential,2013,6,55.05831719,200,10.96992462,83.9822201,4.206924867,3,0,8.324322249,01-10-2021,Medium,202.8561113,155,13921.33146
BTM Layout,Commercial,2007,2,59.34178485,303.5352344,6.834948187,93.43379338,8.245380619,5,0,5.54533016,07-02-2022,Low,167.1809145,229,7950.935487
Whitefield,Institutional,2012,6,50,367.7384819,41.16185264,86.29793256,1.621382745,1,0,6.017557652,15-11-2021,Medium,61.84799223,368,14802.38077
Malleshwaram,Residential,1994,12,250,200,13.4650242,44.70466218,4.256422011,6,0,7.274132057,10-05-2024,High,166.2041985,58,16800.99068
Whitefield,Industrial,1975,11,111.9184033,825.6582163,20.53849889,39.37170594,48.443097,4,1,5.393547207,09-12-2022,Low,130.745886,281,5901.3068
